condition	Tidstämpel	Jagförstårattminmedverkanärfrivilligochanonymochattjagharfrih	Angedinkönsidentitet	Ålder	Vilkenärdenhögstaexamenduharavslutat	Angedinsysselsättning	AngeårlighushållsinkomstföreskattSek	Jagharerfarenhetnärdetkommertillfinansiellaprodukter	Jagharerfarenhetavlånochliknandefinansiellaproduktersedantidiga	Jagharenpositivsynpåminegnaekonomiskaprognosfördekommandetioå	Jagserpositivtpåminegnaekonomiskaförutsättningardennärmastet	Jagharenpositivsynpådenekonomiskaprognosenfördekommandetioåre	Jagtrorattflerafaktorerkommerattförbättraekonominpåkortochlå	Jaglitarpåbanker	Jagpåverkasavfamiljochvännernärjagtarfinansiellabeslut	Dinuppfattningomvadsomansesnormaltinomsamhälletpåverkardinaeko	Påverkardinavännerellerkollegorsåsikterdittvalavrådgivareell	Normerfrånsamhälletpåverkardinaekonomiskabeslut	Dinuppfattningomdinförmågaattbetalaavbolånetamorteringpåverk	Dinkänslaavkontrollöverdinekonomiskasituationpåverkardittbesl	Dinupplevdaförmågaatthanterariskerpåverkardittbeslutattinvest	Informationeniwebbannonsenvarinformativ	Informationeniwebbannonsenvartillhjälp	JagskulleviljaköpabolånfrånSvenskaLånebanken	Deninformationsomwebbannonsengavomproduktenvarvärdefull	Deninformationsomwebbannonsengavomhurbolånfungerarvarvärdefull	Jagskulleviljaköpadetbolånsombeskrivsiwebbannonsen	JagskulleviljaköpabolånfrånSvenskaLånebanken_A	Jagskulleförmodligenköpadenhärprodukten	Jagskulleförmodligenrekommenderadennaprodukttillenvän	DetärtroligtattjagköperettbolånfrånSvenskaLånebankennästag
control.tsv	2023-03-03 09.36.23	JA	Icke-binär	19-29	Kandidatexamen	Student	100.000-200.000	4.0	4.0	6.0	6.0	4.0	3.0	3.0	5.0	3.0	5.0	4.0	7.0	5.0	5.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0
control.tsv	2023-03-03 09.59.33	JA	Man	19-29	Mastersexamen	Arbetande	400.000-500.000	5.0	3.0	6.0	5.0	4.0	3.0	6.0	6.0	7.0	4.0	4.0	6.0	6.0	6.0	5.0	5.0	4.0	6.0	3.0	4.0	4.0	4.0	6.0	3.0
control.tsv	2023-03-03 10.19.15	JA	Kvinna	19-29	Kandidatexamen	Arbetande	300.000-400.000	4.0	5.0	5.0	2.0	5.0	3.0	5.0	6.0	3.0	1.0	5.0	5.0	6.0	5.0	4.0	4.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0
control.tsv	2023-03-03 10.25.50	JA	Kvinna	19-29	Kandidatexamen	Student	100.000-200.000	3.0	4.0	5.0	6.0	3.0	3.0	7.0	6.0	6.0	7.0	6.0	3.0	7.0	7.0	4.0	5.0	5.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0
control.tsv	2023-03-03 10.26.48	JA	Man	19-29	Kandidatexamen	Arbetande	700.000-800.000	7.0	7.0	7.0	7.0	4.0	4.0	6.0	5.0	5.0	5.0	5.0	6.0	6.0	6.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	1.0	2.0
control.tsv	2023-03-03 10.51.36	JA	Kvinna	19-29	Kandidatexamen	Student	0-100.000	1.0	1.0	5.0	3.0	4.0	2.0	6.0	7.0	7.0	7.0	7.0	3.0	7.0	7.0	5.0	5.0	1.0	5.0	5.0	3.0	3.0	1.0	1.0	1.0
control.tsv	2023-03-03 11.28.50	JA	Kvinna	40-49	Kandidatexamen	Arbetande	600.000-700.000	3.0	3.0	6.0	6.0	5.0	5.0	4.0	7.0	6.0	6.0	7.0	7.0	3.0	5.0	5.0	6.0	6.0	5.0	3.0	3.0	5.0	2.0	5.0	4.0
control.tsv	2023-03-03 11.50.53	JA	Man	19-29	Mastersexamen	Arbetande	300.000-400.000	6.0	5.0	7.0	7.0	3.0	3.0	4.0	1.0	1.0	1.0	4.0	7.0	6.0	7.0	6.0	6.0	4.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0
control.tsv	2023-03-03 13.17.19	JA	Man	19-29	Mastersexamen	Arbetande	800.000-900.000	7.0	7.0	7.0	6.0	5.0	5.0	6.0	5.0	5.0	3.0	1.0	7.0	6.0	6.0	6.0	5.0	2.0	5.0	5.0	3.0	3.0	1.0	1.0	1.0
control.tsv	2023-03-04 21.59.04	JA	Man	19-29	Kandidatexamen	Arbetande	500.000-600.000	6.0	5.0	7.0	6.0	6.0	4.0	6.0	2.0	2.0	2.0	2.0	6.0	5.0	4.0	3.0	3.0	2.0	3.0	1.0	1.0	2.0	1.0	1.0	1.0
