Timestamp	My main tasks are related to communication.	Gender	Age	My professional role	I have prior experience using AI-driven software.	I have prior experience using generative AI (such as ChatGPT).	I can imagine using generative AI in my professional role.	I regularly use generative AI in my professional role.	Using generative AI tools feels easy and requires no extra effort.	With the help of generative AI, I can perform my tasks more time-efficiently.	Generative AI tools are more accurate with fewer human errors.	Generative AI understands and performs tasks with higher quality than humans.	Generative AI delivers credible information.	Generative AI tools are sufficiently developed to distinguish between safe and unsafe sources.	Software based on generative AI is more creative than humans.	It takes me too long to learn how to interact with generative AI tools.	Using generative AI tools is too time-consuming.	Working with generative AI tools is difficult.	It is desirable at my workplace to be interested in new technology.	It is desirable at my workplace to be competent in new technology.	Technically knowledgeable employees tend to have more influence at my workplace.	I have gained more interest in technological tools as my colleagues are interested in them.	My workplace expects me to adapt to new technology.	I appreciate that generative AI tools, such as ChatGPT, have a human-like character.	I believe that generative AI tools, such as ChatGPT, understand my needs and what I am asking for.	I believe that generative AI has the same analytical ability as humans.	I believe that generative AI has its own free will.	I believe that generative AI tools can perceive my emotions and communicate in an understanding manner.	My workplace encourages me to use new technology.	My employer provides support and makes it easier for me to learn new technology.	With the support that my employer provides, I feel secure in using generative AI.	I feel that I can control and decide how I want to use generative AI in my work.	I understand why I need to learn new technology in my professional role.	I believe it is positive if my workload is reduced with the help of generative AI.	I feel threatened by generative AI in my professional role.	I find it fun to learn more about new technology.	I am curious to learn more about generative AI.	I feel secure that information I share with generative AI tools is not disclosed to unauthorized persons or organizations.	I believe that generative AI tools can be used to manipulate and harm information that I share with the tool, without my knowledge.	I believe that generative AI tools are sufficiently secure when it comes to protecting users' identity on the internet.	ag_lt31	ag_lt41
2023-04-18 10.39.36	Ja	Man	21-30	Annat	4	5		1	4	3	1	1	3	1	1	2	4	1	4	5	3	3	3	2	4	1	1	1													1	1
2023-04-18 12.29.53	Ja	Kvinna	21-30	Annat	Ja	Ja		3	4	4	2	3	3	2	4	2	2	2	3	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	4	3	2	4	2	1	1
2023-04-18 12.43.11	Ja	Kvinna	21-30	Content creator	Nej	Ja		4	3	4	3	2	3	3	3	2	1	2	3	3	2	4	2	3	4	2	2	4	4	2	2	5	4	4	3	4	3	1	3	2	1	1
2023-04-18 13.04.56	Ja	Man	21-30	Kommunikatör	Ja	Ja		4	5	5	3	2	2	1	3	1	1	1	4	3	4	4	3	4	3	2	2	2	5	4	4	4	4	5	3	5	5	2	3	2	1	1
2023-04-18 13.43.51	Ja	Kvinna	21-30	Annat	Ja	Ja		5	5	5	3	3	3	2	4	1	1	1	5	5	4	5	5	4	4	2	2	3	5	5	5	4	5	5	1	5	5	2	2	3	1	1
2023-04-18 17.44.28	Ja	Kvinna	21-30	Annat	Nej	Nej		1	1	1	1	1	3	2	1	5	2	3	4	4	4	4	3	2	2	1	3	1	2	4	3	2	5	1	4	3	2	2	4	3	1	1
2023-04-19 08.02.58	Ja	Kvinna	21-30	Content creator	Ja	Ja		4	3	5	2	2	3	1	4	2	1	2	3	4	4	1	2	2	3	4	4	4	4	2	1	5	5	5	4	5	5	1	5	1	1	1
2023-04-19 11.06.54	Ja	Man	21-30	Kommunikatör	Ja	Ja		4	5	5	2	2	4	3	2	1	1	1	5	2	5	1	1	5	5	2	1	1	2	5	5	5	5	5	1	5	4	1	5	1	1	1
2023-04-19 12.19.29	Ja	Kvinna	21-30	Annat	Ja	Ja		3	4	4	4	3	2	2	3	1	1	2	5	5	4	5	5	4	4	4	2	3	5	5	5	4	5	3	2	5	5	1	3	1	1	1
2023-04-19 18.39.16	Ja	Kvinna	31-40	Annat	Ja	Ja		3	2	4	3	2	2	2	3	3	2	3	5	5	5	3	5	4	4	1	1	3	5	4	4	4	5	5	2	5	5	2	2	3	2	1
