Timestamp	Mina huvudsakliga arbetsuppgifter är relaterade till kommunikation. 	Gender	Age	My professional role	Jag har tidigare erfarenhet av att använda AI-driven programvara. 	Jag har tidigare erfarenhet av att använda mig av generativ AI (såsom ChatGPT). 	I can imagine using generative AI in my professional role.	Jag använder generativ AI regelbundet i min yrkesroll. 	Att använda generativa AI-verktyg känns enkelt och kräver ingen extra ansträngning. 	Med hjälp av generativ AI kan jag utföra mina arbetsuppgifter på ett mer tidseffektivt sätt. 	Generativa AI-verktyg är mer korrekta med färre mänskliga fel. 	Generativ AI förstår och utför uppgifter med högre kvalitet än människor. 	Generativ AI levererar trovärdig information. 	Generativa AI-verktyg är tillräckligt utvecklade för att urskilja säkra och osäkra källor. 	Programvaror baserade på generativ AI är mer kreativa än människor. 	Det tar mig för lång tid att lära mig hur jag ska interagera med generativa AI-verktyg. 	Att använda generativa AI-verktyg är för tidskrävande. 	Att arbeta med generativa AI-verktyg är svårt. 	På min arbetsplats är det eftersträvansvärt att vara intresserad av ny teknologi. 	På min arbetsplats är det eftersträvansvärt att vara kompetent i ny teknologi. 	Tekniskt kunniga medarbetare tenderar att få mer inflytande på min arbetsplats. 	Jag har fått ett större intresse för teknologiska verktyg då mina arbetskamrater har ett intresse för det. 	Min arbetsplats förväntar sig att jag anpassar mig till ny teknik. 	Jag uppskattar att generativa AI-verktyg, såsom ChatGPT, har en mänsklig karaktär.	Jag anser att generativa AI-verktyg, såsom ChatGPT, förstår mina behov och det jag frågar efter. 	Jag anser att generativ AI har samma analytiska förmåga som människor.	Jag anser att generativ AI har en egen fri vilja.	Jag anser att generativa AI-verktyg kan uppfatta mina känslor och kommunicera på ett förstående sätt. 	Min arbetsplats uppmuntrar mig till att använda ny teknik. 	Min arbetsgivare bidrar med stöd och underlättar så jag kan lära mig ny teknik.	Med det stöd min arbetsgivare bidrar med känner jag mig trygg i användandet av generativ AI. 	Jag upplever att jag själv kan styra och avgöra hur jag vill använda generativ AI i mitt arbete. 	Jag förstår varför jag behöver lära mig ny teknik i min yrkesroll. 	Jag anser att det är positivt om min arbetsbörda minskar med hjälp av generativ AI. 	Jag känner mig hotad av generativ AI i min yrkesroll. 	Jag tycker att det är kul att lära mig mer om ny teknik. 	Jag är nyfiken på att få veta mer om generativ AI.	Jag känner mig säker på att information som jag delar med generativa AI-verktyg inte lämnas ut till obehöriga personer eller organisationer. 	Jag anser att generativa AI-verktyg kan användas för att manipulera och skada information som jag delar med verktyget, utan min kännedom. 	Jag anser att generativa AI-verktyg är tillräckligt säkra när det gäller att skydda användarnas identitet på internet. 
2023-04-18 10.39.36	Ja	Man	21-30	Annat	4	5		1.0	4.0	3.0	1.0	1.0	3.0	1.0	1.0	2.0	4.0	1.0	4.0	5.0	3.0	3.0	3.0	2.0	4.0	1.0	1.0	1.0												
2023-04-18 12.29.53	Ja	Kvinna	21-30	Annat	Ja	Ja		3.0	4.0	4.0	2.0	3.0	3.0	2.0	4.0	2.0	2.0	2.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	2.0	4.0	2.0
2023-04-18 12.43.11	Ja	Kvinna	21-30	Content creator	Nej	Ja		4.0	3.0	4.0	3.0	2.0	3.0	3.0	3.0	2.0	1.0	2.0	3.0	3.0	2.0	4.0	2.0	3.0	4.0	2.0	2.0	4.0	4.0	2.0	2.0	5.0	4.0	4.0	3.0	4.0	3.0	1.0	3.0	2.0
2023-04-18 13.04.56	Ja	Man	21-30	Kommunikatör	Ja	Ja		4.0	5.0	5.0	3.0	2.0	2.0	1.0	3.0	1.0	1.0	1.0	4.0	3.0	4.0	4.0	3.0	4.0	3.0	2.0	2.0	2.0	5.0	4.0	4.0	4.0	4.0	5.0	3.0	5.0	5.0	2.0	3.0	2.0
2023-04-18 13.43.51	Ja	Kvinna	21-30	Annat	Ja	Ja		5.0	5.0	5.0	3.0	3.0	3.0	2.0	4.0	1.0	1.0	1.0	5.0	5.0	4.0	5.0	5.0	4.0	4.0	2.0	2.0	3.0	5.0	5.0	5.0	4.0	5.0	5.0	1.0	5.0	5.0	2.0	2.0	3.0
2023-04-18 17.44.28	Ja	Kvinna	21-30	Annat	Nej	Nej		1.0	1.0	1.0	1.0	1.0	3.0	2.0	1.0	5.0	2.0	3.0	4.0	4.0	4.0	4.0	3.0	2.0	2.0	1.0	3.0	1.0	2.0	4.0	3.0	2.0	5.0	1.0	4.0	3.0	2.0	2.0	4.0	3.0
2023-04-19 08.02.58	Ja	Kvinna	21-30	Content creator	Ja	Ja		4.0	3.0	5.0	2.0	2.0	3.0	1.0	4.0	2.0	1.0	2.0	3.0	4.0	4.0	1.0	2.0	2.0	3.0	4.0	4.0	4.0	4.0	2.0	1.0	5.0	5.0	5.0	4.0	5.0	5.0	1.0	5.0	1.0
2023-04-19 11.06.54	Ja	Man	21-30	Kommunikatör	Ja	Ja		4.0	5.0	5.0	2.0	2.0	4.0	3.0	2.0	1.0	1.0	1.0	5.0	2.0	5.0	1.0	1.0	5.0	5.0	2.0	1.0	1.0	2.0	5.0	5.0	5.0	5.0	5.0	1.0	5.0	4.0	1.0	5.0	1.0
2023-04-19 12.19.29	Ja	Kvinna	21-30	Annat	Ja	Ja		3.0	4.0	4.0	4.0	3.0	2.0	2.0	3.0	1.0	1.0	2.0	5.0	5.0	4.0	5.0	5.0	4.0	4.0	4.0	2.0	3.0	5.0	5.0	5.0	4.0	5.0	3.0	2.0	5.0	5.0	1.0	3.0	1.0
2023-04-19 18.39.16	Ja	Kvinna	31-40	Annat	Ja	Ja		3.0	2.0	4.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	3.0	5.0	5.0	5.0	3.0	5.0	4.0	4.0	1.0	1.0	3.0	5.0	4.0	4.0	4.0	5.0	5.0	2.0	5.0	5.0	2.0	2.0	3.0
2023-04-19 20.26.00	Nej	Kvinna	21-30	Annat	Ja	Ja																																		
