Timestamp	My main tasks are related to communication.	Gender	Age	My professional role	I have prior experience using AI-driven software.	I regularly use generative AI in my professional role.	With the help of generative AI, I can perform my tasks more time-efficiently.	Generative AI delivers credible information.	Working with generative AI tools is difficult.	My workplace expects me to adapt to new technology.	I understand why I need to learn new technology in my professional role.	I feel threatened by generative AI in my professional role.	I am curious to learn more about generative AI.	ag_lt31	ag_lt41	rg_03	rg_03_cat
2023-04-18 10.39.36	Ja	Man	21-30	Annat	4	1.0	3.0	3.0	1.0	3.0	5.0	2.0	5.0	1	1	0	other
2023-04-18 12.29.53	Ja	Kvinna	21-30	Annat	Ja	3.0	4.0	3.0	2.0	4.0	3.0	3.0	3.0	1	1	0	other
2023-04-18 12.43.11	Ja	Kvinna	21-30	Content creator	Nej	4.0	4.0	3.0	2.0	2.0	4.0	3.0	3.0	1	1	2	creative
2023-04-18 13.04.56	Ja	Man	21-30	Kommunikatör	Ja	4.0	5.0	2.0	1.0	3.0	4.0	3.0	5.0	1	1	1	communicator
2023-04-18 13.43.51	Ja	Kvinna	21-30	Annat	Ja	5.0	5.0	3.0	1.0	5.0	5.0	1.0	5.0	1	1	0	other
2023-04-18 17.44.28	Ja	Kvinna	21-30	Annat	Nej	1.0	1.0	3.0	3.0	3.0	5.0	4.0	2.0	1	1	0	other
2023-04-19 08.02.58	Ja	Kvinna	21-30	Content creator	Ja	4.0	5.0	3.0	2.0	2.0	5.0	4.0	5.0	1	1	2	creative
2023-04-19 11.06.54	Ja	Man	21-30	Kommunikatör	Ja	4.0	5.0	4.0	1.0	1.0	5.0	1.0	4.0	1	1	1	communicator
2023-04-19 12.19.29	Ja	Kvinna	21-30	Annat	Ja	3.0	4.0	2.0	2.0	5.0	5.0	2.0	5.0	1	1	0	other
2023-04-19 18.39.16	Ja	Kvinna	31-40	Annat	Ja	3.0	4.0	2.0	3.0	5.0	5.0	2.0	5.0	2	1	0	other
2023-04-19 20.26.00	Nej	Kvinna	21-30	Annat	Ja	3.0	4.0	3.0	2.0	4.0	5.0	2.0	5.0	1	1	0	other
2023-04-19 23.23.59	Ja	Kvinna	21-30	Content creator	Nej	2.0	3.0	2.0	2.0	2.0	5.0	4.0	5.0	1	1	2	creative
2023-04-20 17.15.22	Ja	Kvinna	51-60	Content creator	Nej	2.0	3.0	1.0	3.0	5.0	5.0	5.0	5.0	2	2	2	creative
2023-04-20 18.29.18	Ja	Kvinna	31-40	Copywriter	Nej	4.0	4.0	1.0	1.0	3.0	5.0	5.0	5.0	2	1	2	creative
2023-04-20 18.41.06	Ja	Kvinna	41-50	Kommunikatör	Ja	1.0	3.0	4.0	1.0	4.0	5.0	1.0	5.0	2	2	1	communicator
2023-04-20 18.52.29	Ja	Kvinna	21-30	Content creator	Ja	3.0	5.0	4.0	2.0	4.0	5.0	1.0	5.0	1	1	2	creative
2023-04-20 19.16.23	Ja	Kvinna	31-40	Chef inom kommunikation eller marknad	Nej	2.0	4.0	2.0	3.0	2.0	3.0	1.0	5.0	2	1	3	strategic
2023-04-20 20.10.52	Ja	Kvinna	41-50	Content creator	Ja	2.0	2.0	2.0	4.0	5.0	5.0	2.0	5.0	2	2	2	creative
2023-04-20 20.21.41	Ja	Kvinna	41-50	Kommunikatör	Ja	4.0	4.0	4.0	2.0	4.0	4.0	2.0	4.0	2	2	1	communicator
2023-04-20 20.57.34	Ja	Kvinna	31-40	Chef inom kommunikation eller marknad	Nej	3.0	4.0	4.0	1.0	5.0	5.0	3.0	5.0	2	1	3	strategic
2023-04-20 21.20.29	Ja	Kvinna	31-40	Kommunikatör	Ja	4.0	3.0	4.0	1.0	3.0	5.0	1.0	5.0	2	1	1	communicator
2023-04-20 21.24.29	Ja	Kvinna	21-30	Kommunikatör	Ja	2.0	2.0	2.0	3.0	5.0	5.0	3.0	4.0	1	1	1	communicator
2023-04-20 21.43.40	Ja	Kvinna	41-50	Chef inom kommunikation eller marknad	Nej	4.0	5.0	3.0	1.0	4.0	5.0	2.0	5.0	2	2	3	strategic
2023-04-20 23.31.19	Ja	Kvinna	21-30	Content creator	Ja	5.0	5.0	4.0	1.0	5.0	5.0	4.0	5.0	1	1	2	creative
2023-04-21 06.27.47	Ja	Kvinna	21-30	Kommunikatör	Nej	3.0	4.0	4.0	2.0	2.0	5.0	2.0	4.0	1	1	1	communicator
2023-04-21 08.31.04	Ja	Kvinna	31-40	Kommunikatör	Ja	2.0	4.0	2.0	1.0	2.0	5.0	3.0	5.0	2	1	1	communicator
2023-04-21 10.05.43	Ja	Kvinna	21-30	Kommunikatör	Ja	2.0	5.0	3.0	2.0	4.0	5.0	2.0	5.0	1	1	1	communicator
2023-04-21 10.18.31	Ja	Kvinna	31-40	Chef inom kommunikation eller marknad	Nej	4.0	4.0	3.0	2.0	3.0	5.0	1.0	5.0	2	1	3	strategic
2023-04-21 11.19.11	Ja	Kvinna	21-30	Kommunikatör	Nej	5.0	5.0	4.0	1.0	1.0	5.0	5.0	5.0	1	1	1	communicator
2023-04-21 11.46.13	Ja	Kvinna	31-40	Kommunikatör	Nej	5.0	5.0	3.0	1.0	3.0	5.0	1.0	5.0	2	1	1	communicator
2023-04-21 13.09.44	Ja	Kvinna	61-70	Annat	Ja	4.0	5.0	4.0	1.0	4.0	5.0	1.0	5.0	2	2	0	other
