"coder_id"	"content_id"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V12"	"V13"	"V14"	"V15"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"some"
"A"	"DK001"	208	4	3	2	1	0	99	0	0	0	0	5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	"DK001"
"A"	"DK002"	206	4	3	2	4	0	99	0	0	0	0	3	99	0	0	1	0	1	0	0	0	0	1	0	1	1	5	2	"DK002"
"A"	"DK003"	208	1	2	0	99	0	99	0	0	0	0	3	99	0	0	1	0	1	0	1	0	1	0	0	0	1	4	1	"DK003"
"A"	"DK004"	206	1	3	1	3	0	99	0	0	1	0	4	99	0	0	0	0	0	0	0	0	0	1	0	1	1	3	1	"DK004"
"A"	"DK005"	206	1	2	0	99	0	99	0	0	0	0	3	99	0	0	1	0	0	1	1	0	0	0	0	1	1	5	3	"DK005"
"A"	"DK006"	206	1	3	1	3	0	99	0	0	0	0	2	99	0	0	1	0	0	0	1	0	0	1	0	1	1	5	2	"DK006"
"A"	"DK007"	206	1	3	0	99	0	99	0	0	0	0	3	99	0	0	1	0	0	0	1	0	0	0	0	1	1	4	3	"DK007"
"A"	"DK008"	206	1	2	1	3	0	99	0	0	0	0	9	99	0	0	1	0	0	0	0	0	0	0	0	1	1	3	2	"DK008"
"A"	"DK009"	206	1	2	1	3	0	99	1	0	0	0	1	99	0	0	1	0	1	0	0	1	0	0	0	0	1	4	2	"DK009"
"A"	"DK010"	206	1	1	0	99	99	99	0	0	0	0	6	99	0	0	1	0	0	0	0	0	0	1	0	0	1	3	1	"DK010"
"B"	"DK001"	208	3	2	2	4	0	99	0	0	0	0	5	99	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	"DK001"
"B"	"DK002"	206	4	3	2	4	0	99	0	0	0	0	4	99	0	0	1	0	0	1	1	0	1	1	0	1	0	6	1	"DK002"
"B"	"DK003"	208	1	2	1	1	0	99	0	0	0	0	3	99	0	0	1	0	1	0	0	0	0	0	0	0	0	2	1	"DK003"
"B"	"DK004"	206	1	2	2	5	0	99	0	0	1	0	12	5	0	0	0	1	0	1	1	1	1	1	0	0	0	6	1	"DK004"
"B"	"DK005"	206	1	2	1	1	0	99	0	0	0	0	3	7	0	0	1	0	0	1	1	0	0	0	0	1	0	4	1	"DK005"
"B"	"DK006"	206	1	2	2	5	0	99	0	0	0	0	3	99	0	0	1	0	0	0	0	0	0	1	0	1	1	4	2	"DK006"
"B"	"DK007"	206	1	2	1	1	0	99	0	0	0	0	3	99	0	0	1	0	1	0	1	0	1	0	0	1	0	5	3	"DK007"
"B"	"DK008"	206	1	3	1	1	0	99	0	0	0	0	9	99	0	0	1	0	0	0	1	0	0	1	0	1	1	5	2	"DK008"
"B"	"DK009"	206	1	2	2	5	0	99	1	0	0	0	10	99	0	0	1	0	1	1	0	1	1	0	0	0	0	5	2	"DK009"
"B"	"DK010"	206	1	1	0	99	99	99	0	0	1	0	8	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"DK010"
"A"	"FI001"	315	1	2	1	2	1	1	0	1	0	0	3	1	1	1	0	0	1	1	1	1	0	0	1	1	1	6	2	"FI001"
"A"	"FI002"	311	1	1	0	99	99	99	0	0	1	0	10	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	"FI002"
"A"	"FI003"	311	1	1	0	99	99	99	0	1	0	0	11	11	0	1	0	0	0	1	0	0	0	0	0	1	1	4	1	"FI003"
"A"	"FI004"	313	1	1	1	2	99	99	0	0	1	0	99	99	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	"FI004"
"A"	"FI005"	314	1	1	1	2	99	99	0	1	1	0	99	1	1	1	1	1	1	0	0	0	0	0	1	1	1	7	1	"FI005"
"A"	"FI006"	315	1	1	0	99	99	99	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	1	0	4	2	"FI006"
"A"	"FI007"	315	1	1	1	2	1	1	0	1	1	0	10	11	0	0	0	0	0	0	1	1	1	0	0	0	1	3	2	"FI007"
"A"	"FI008"	314	2	1	1	2	1	1	0	1	0	0	10	11	0	0	0	1	1	1	0	1	1	1	0	0	0	6	2	"FI008"
"A"	"FI009"	315	1	1	1	1	0	99	0	0	0	0	12	1	0	0	0	0	0	0	0	1	0	1	0	0	0	2	1	"FI009"
"A"	"FI010"	315	1	1	1	1	0	99	1	0	1	0	10	1	0	0	0	0	1	1	0	1	1	1	0	1	0	6	2	"FI010"
"B"	"FI001"	315	1	2	1	2	1	1	0	1	0	0	3	1	0	1	1	0	1	1	1	1	0	0	1	0	0	5	3	"FI001"
"B"	"FI002"	311	1	1	0	99	99	99	0	0	1	0	10	2	0	1	1	0	0	0	0	1	0	1	0	0	1	1	1	"FI002"
"B"	"FI003"	311	1	1	0	99	99	99	0	1	0	0	11	11	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	"FI003"
"B"	"FI004"	313	1	1	1	2	99	99	0	0	1	0	12	2	0	1	1	0	0	0	0	0	0	0	1	0	1	3	1	"FI004"
"B"	"FI005"	314	1	1	1	2	0	99	0	1	1	0	12	1	0	1	1	1	1	0	0	0	0	0	1	0	0	4	1	"FI005"
"B"	"FI006"	315	1	1	0	99	99	99	0	0	0	0	1	4	0	0	0	0	1	1	0	1	1	0	0	1	1	5	1	"FI006"
"B"	"FI007"	315	1	1	1	2	1	1	0	1	1	0	10	11	0	1	0	0	1	1	1	1	0	1	0	0	1	5	2	"FI007"
"B"	"FI008"	314	2	2	1	2	1	0	0	1	0	0	10	11	0	1	1	1	0	1	0	1	0	1	0	0	0	5	3	"FI008"
"B"	"FI009"	315	1	2	1	1	99	99	0	0	0	0	12	1	0	0	0	0	0	0	0	1	0	1	0	0	1	3	3	"FI009"
"B"	"FI010"	315	1	2	1	1	0	99	1	0	1	0	10	1	0	0	0	0	1	1	0	1	1	1	0	1	0	5	3	"FI010"
"A"	"S001"	102	1	3	2	4	1	1	0	0	0	0	1	1	0	1	0	0	0	1	1	1	0	1	1	0	0	5	1	"S001"
"A"	"S002"	103	1	3	1	1	0	99	0	0	0	0	3	1	0	0	1	1	0	0	1	0	1	0	0	0	0	4	2	"S002"
"A"	"S003"	102	1	3	1	2	0	99	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	"S003"
"A"	"S004"	101	2	3	1	2	0	99	0	0	0	1	10	1	0	0	1	0	0	1	0	1	0	1	1	0	0	5	1	"S004"
"A"	"S005"	104	1	3	2	1	1	1	0	0	0	0	3	1	0	0	1	1	1	0	0	0	0	0	0	0	0	3	1	"S005"
"A"	"S006"	102	3	3	2	4	1	0	0	0	0	0	12	1	1	1	1	0	0	0	1	0	0	1	0	0	0	3	2	"S006"
"A"	"S007"	103	1	1	0	99	99	99	0	0	0	0	10	1	0	0	0	0	0	0	0	0	1	0	0	0	1	2	2	"S007"
"A"	"S008"	101	2	3	0	99	99	99	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	2	1	"S008"
"A"	"S009"	101	2	2	2	1	0	99	0	0	0	0	4	1	0	0	1	0	0	1	1	0	0	0	0	1	0	4	2	"S009"
"A"	"S010"	105	2	1	0	99	99	99	0	0	1	0	6	1	0	0	1	0	1	0	0	0	1	0	0	0	0	3	2	"S010"
"B"	"S0001"	102	1	3	2	4	1	1	0	0	0	0	1	1	0	1	0	0	0	1	1	1	0	1	1	0	0	5	1	"S001"
"B"	"S0002"	103	1	3	1	1	0	99	0	0	0	0	3	99	0	0	1	1	0	0	1	1	1	0	0	0	0	5	2	"S002"
"B"	"S0003"	102	1	3	1	2	0	99	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	"S003"
"B"	"S0004"	101	2	3	1	2	0	99	0	0	0	1	10	10	0	0	1	1	0	1	0	1	0	1	1	0	0	6	1	"S004"
"B"	"S0005"	104	1	3	1	2	0	99	0	0	0	0	3	99	0	0	0	1	1	1	0	1	0	0	0	0	0	4	2	"S005"
"B"	"S0006"	102	3	3	2	1	1	1	0	0	0	0	99	1	0	1	1	0	0	0	0	0	1	1	1	0	0	4	2	"S006"
"B"	"S0007"	103	1	1	0	99	99	99	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	"S007"
"B"	"S0008"	101	2	3	0	99	99	99	0	0	0	1	1	99	0	1	0	0	0	1	0	0	0	1	0	0	0	2	1	"S008"
"B"	"S0009"	101	2	3	2	4	0	99	0	0	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0	1	0	3	2	"S009"
"B"	"S0010"	105	2	1	0	99	99	99	0	0	1	0	10	1	0	0	1	0	1	0	0	0	0	0	0	0	0	2	2	"S010"
