"coder_id"	"content_id"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"some"
"A"	"DK001"	208	4	3	2	1	0	99	0	0	0	0	5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	"DK001"
"A"	"DK002"	206	4	3	2	4	0	99	0	0	0	0	3	99	0	0	1	0	1	0	0	0	0	1	0	1	1	5	2	"DK002"
"A"	"DK003"	208	1	2	0	99	99	99	0	0	0	0	3	99	0	0	1	0	1	0	1	0	1	0	0	0	1	4	1	"DK003"
"A"	"DK004"	206	1	3	1	3	0	99	0	0	1	0	4	99	0	0	0	0	0	0	0	0	0	1	0	1	1	3	1	"DK004"
"A"	"DK005"	206	1	2	0	99	0	99	0	0	0	0	3	99	0	0	1	0	0	1	1	0	0	0	0	1	1	5	3	"DK005"
"A"	"DK006"	206	1	3	1	3	0	99	0	0	0	0	2	99	0	0	1	0	0	0	1	0	0	1	0	1	1	5	2	"DK006"
"A"	"DK007"	206	1	3	0	99	99	99	0	0	0	0	3	99	0	0	1	0	0	0	1	0	0	0	0	1	1	4	3	"DK007"
"A"	"DK008"	206	1	2	1	3	0	99	0	0	0	0	9	99	0	0	1	0	0	0	0	0	0	0	0	1	1	3	2	"DK008"
"A"	"DK009"	206	1	2	1	3	0	99	1	0	0	0	1	99	0	0	1	0	1	0	0	1	0	0	0	0	1	4	2	"DK009"
"A"	"DK010"	206	1	1	0	99	99	99	0	0	1	0	6	99	0	0	1	0	0	0	0	0	0	1	0	0	1	3	1	"DK010"
"B"	"DK001"	208	3	2	2	4	0	99	0	0	0	0	5	99	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	"DK001"
"B"	"DK002"	206	4	3	2	4	0	99	0	0	0	0	4	99	0	0	1	0	0	1	1	0	1	1	0	1	0	6	1	"DK002"
"B"	"DK003"	208	1	2	0	99	99	99	0	0	0	0	3	99	0	0	1	0	1	0	0	0	0	0	0	0	0	2	1	"DK003"
"B"	"DK004"	206	1	2	1	3	0	99	0	0	1	0	12	5	0	0	0	1	0	1	1	1	1	1	0	0	0	6	1	"DK004"
"B"	"DK005"	206	1	2	1	1	0	99	0	0	0	0	3	7	0	0	1	0	0	1	1	0	0	0	0	1	0	4	1	"DK005"
"B"	"DK006"	206	1	2	1	3	0	99	0	0	0	0	3	99	0	0	1	0	0	0	0	0	0	1	0	1	1	4	2	"DK006"
"B"	"DK007"	206	1	2	0	99	99	99	0	0	0	0	3	99	0	0	1	0	1	0	1	0	1	0	0	1	0	5	3	"DK007"
"B"	"DK008"	206	1	3	1	3	0	99	0	0	0	0	9	99	0	0	1	0	0	0	1	0	0	1	0	1	1	5	2	"DK008"
"B"	"DK009"	206	1	2	1	3	0	99	1	0	0	0	10	99	0	0	1	0	1	1	0	1	1	0	0	0	0	5	2	"DK009"
"B"	"DK010"	206	1	1	0	99	99	99	0	0	1	0	8	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"DK010"
