"coder_id"	"content_id"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V12"	"V13"	"V14"	"V15"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"some"
"A"	"S001"	102	1	3	2	4	1	1	0	0	0	0	1	1	0	1	0	0	0	1	1	1	0	1	1	0	0	5	1	"S001"
"A"	"S002"	103	1	3	1	1	0	99	0	0	0	0	3	1	0	0	1	1	0	0	1	0	1	0	0	0	0	4	2	"S002"
"A"	"S003"	102	1	3	1	2	0	99	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	"S003"
"A"	"S004"	101	2	3	1	2	0	99	0	0	0	1	10	1	0	0	1	0	0	1	0	1	0	1	1	0	0	5	1	"S004"
"A"	"S005"	104	1	3	2	1	1	1	0	0	0	0	3	1	0	0	1	1	1	0	0	0	0	0	0	0	0	3	1	"S005"
"A"	"S006"	102	3	3	2	4	1	0	0	0	0	0	12	1	1	1	1	0	0	0	1	0	0	1	0	0	0	3	2	"S006"
"A"	"S007"	103	1	1	0	99	99	99	0	0	0	0	10	1	0	0	0	0	0	0	0	0	1	0	0	0	1	2	2	"S007"
"A"	"S008"	101	2	3	0	99	99	99	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	2	1	"S008"
"A"	"S009"	101	2	2	2	1	0	99	0	0	0	0	4	1	0	0	1	0	0	1	1	0	0	0	0	1	0	4	2	"S009"
"A"	"S010"	105	2	1	0	99	99	99	0	0	1	0	6	1	0	0	1	0	1	0	0	0	1	0	0	0	0	3	2	"S010"
"B"	"S0001"	102	1	3	2	4	1	1	0	0	0	0	1	1	0	1	0	0	0	1	1	1	0	1	1	0	0	5	1	"S001"
"B"	"S0002"	103	1	3	1	1	0	99	0	0	0	0	3	99	0	0	1	1	0	0	1	1	1	0	0	0	0	5	2	"S002"
"B"	"S0003"	102	1	3	1	2	0	99	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	"S003"
"B"	"S0004"	101	2	3	1	2	0	99	0	0	0	1	10	10	0	0	1	1	0	1	0	1	0	1	1	0	0	6	1	"S004"
"B"	"S0005"	104	1	3	1	2	0	99	0	0	0	0	3	99	0	0	0	1	1	1	0	1	0	0	0	0	0	4	2	"S005"
"B"	"S0006"	102	3	3	2	1	1	1	0	0	0	0	99	1	0	1	1	0	0	0	0	0	1	1	1	0	0	4	2	"S006"
"B"	"S0007"	103	1	1	0	99	99	99	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	"S007"
"B"	"S0008"	101	2	3	0	99	99	99	0	0	0	1	1	99	0	1	0	0	0	1	0	0	0	1	0	0	0	2	1	"S008"
"B"	"S0009"	101	2	3	2	4	0	99	0	0	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0	1	0	3	2	"S009"
"B"	"S0010"	105	2	1	0	99	99	99	0	0	1	0	10	1	0	0	1	0	1	0	0	0	0	0	0	0	0	2	2	"S010"
